"","jday","Site","month","TS.5","TS.10","TS.30","RH","PARin","SWin","VPD","Precip","Ta"
"1",1,"BB1","Jan",6.88391158695652,6.41637345652174,NA,82.8786047826087,100.405055210375,52.9353471304348,0.207340669489854,0.00869565217391304,9.48194265217391
"2",1,"BB2","Jan",6.00657053623188,5.96085436956522,5.79885336231884,79.8079399726217,108.337150565217,53.8203805652174,0.488913194631497,0.00652173913043478,9.4842507826087
"3",2,"BB1","Jan",6.49353816666667,6.25235004166667,NA,90.8074708333333,24.9785933266,10.0845228333333,0.0798417642428488,0.1375,4.17077875
"4",2,"BB2","Jan",4.67228191666667,5.04711854166667,5.22273781944444,88.8177483320417,20.8985589166667,9.33774316666667,0.0965225986725667,0.139583333333333,3.99921460416667
"5",3,"BB1","Jan",6.3334560625,5.9735858125,NA,83.1239320833333,29.3768048007102,12.5891308125,0.232881389802715,0.445833333333333,9.98198966666667
"6",3,"BB2","Jan",5.87936734027778,5.66057597916667,5.66825878472222,80.0867127442542,26.31040925,12.1110781875,0.269614310227382,0.383333333333333,9.84445375
"7",4,"BB1","Jan",6.65743908333333,6.24170154166667,NA,83.1080345833333,77.5919110455836,36.9161067291667,0.167786122519422,0.0395833333333333,6.78159679166667
"8",4,"BB2","Jan",5.54288163888889,5.60948107638889,5.59941774305556,80.0686479380792,70.3334912083333,35.5732250625,0.196794961645847,0.0354166666666667,6.6709700625
"9",5,"BB1","Jan",6.5062419375,6.16605102083333,NA,84.1964658333333,70.6329363261219,35.6867105208333,0.155737415241901,0.03125,6.39468125
"10",5,"BB2","Jan",5.30725864583333,5.46636103472222,5.53274327777778,81.3054650203917,68.4497699791667,36.5061430625,0.182314432180938,0.0270833333333333,6.21321354166667
"11",6,"BB1","Jan",6.02984395833333,5.8311055,NA,98.6259283333333,20.4831111922485,8.55188091666667,0.0113002283319521,0.452083333333333,4.3494096875
"12",6,"BB2","Jan",4.82365577083333,5.06978817361111,5.2613806875,97.7020961430167,18.5451511041667,8.22442652083333,0.0183817717549451,0.458333333333333,3.843677875
"13",7,"BB1","Jan",6.20623416666667,5.811717875,NA,96.7318654166667,20.5744181636162,8.5604246875,0.0371173093010398,0.410416666666667,8.45057335416667
"14",7,"BB2","Jan",5.91232408333333,5.70390079166667,5.71129099305556,95.5498156289208,21.5171884583333,9.09878322916667,0.0504315648855412,0.389583333333333,8.394127375
"15",8,"BB1","Jan",6.459016,6.05930466666667,NA,77.42528625,59.7416707989695,26.7309001875,0.200248086272853,0.00208333333333333,4.6085825625
"16",8,"BB2","Jan",5.18241009722222,5.42764563888889,5.47687996527778,73.6111705244625,52.0125940625,24.6957534583333,0.233450236613189,0,4.42921597916667
"17",9,"BB1","Jan",5.761555625,5.67568866666667,NA,91.6260029166667,98.7105631560229,49.4487598541667,0.0658400354189303,0.00208333333333333,1.23170979166667
"18",9,"BB2","Jan",3.21017107638889,3.90980777083333,4.44549122222222,89.7478708942958,100.010541416667,49.2444256875,0.0813278657202278,0.00208333333333333,1.1782854375
"19",10,"BB1","Jan",5.02997022916667,5.02865235416667,NA,97.455053125,19.1495655182617,8.88670747916667,0.0191030056927975,0.5625,2.20046383333333
"20",10,"BB2","Jan",2.65536263888889,3.2545025,3.84679483333333,96.3715955175312,16.9838957916667,7.7032853125,0.0275084494782622,0.883333333333333,2.4887345625
