"","jday","Site","month_local","NEE_f","GPP_DT","GPP_f","Reco","Reco_DT","CH4_f","CH4_f_RF","NEEgC_f","GPPgC_DT","GPPgC_f","RecogC","RecogC_DT","CH4gC_f","CH4mgC_f","CH4gC_f_RF","CH4mgC_f_RF","NEEcum","GPPcum_f","Recocum","CH4mgCcum","CH4cum_f_RF","CH4cum_f_RF_gC","co2","ch4","co2gC","ch4gC","ch4mgC"
"1",1,"BB1","1",0.115910083379473,0.0832533722712769,0.357078295420663,0.472988378800136,0.447071787073764,0.0113533184644541,0.00542153261302821,0.120275720759877,0.0863890272845022,0.370527292339387,0.490803013099264,0.46391029886211,0.0117809298510993,11.7809298510993,0.0056257292173653,5.6257292173653,0.120275720759877,0.370527292339387,0.490803013099264,11.7809298510993,5.6257292173653,0.0056257292173653,NA,NA,NA,NA,NA
"2",2,"BB1","1",0.366334609706597,0.0459950173082888,0.0447804363171845,0.411115046023781,0.365691987324528,0.0110648462296746,0.00335291732440156,0.380132236446586,0.0477273736401882,0.0464670466706349,0.426599283117221,0.379465410335119,0.0114815925980691,11.4815925980691,0.00347920160250782,3.47920160250782,0.500407957206463,0.416994339010022,0.917402296216485,23.2625224491684,9.10493081987312,0.00910493081987312,NA,NA,NA,NA,NA
"3",3,"BB1","1",0.367738955445502,0.157262121123586,0.0790900877552665,0.446829043200769,0.488831654924341,0.0106167574902985,0.0035595229333316,0.381589475463402,0.163185241653585,0.0820689368204808,0.463658412283882,0.507243010375412,0.0110166270444131,11.0166270444131,0.0036935888050926,3.6935888050926,0.881997432669865,0.499063275830503,1.38106070850037,34.2791494935814,12.7985196249657,0.0127985196249657,NA,NA,NA,NA,NA
"4",4,"BB1","1",0.283757998062071,0.102965953927604,0.111129716688043,0.394887714750114,0.415768147360527,0.00955131133057018,0.00166468251484462,0.294445459301081,0.106844063616333,0.115315306337381,0.409760765638462,0.431427638862714,0.00991105192052478,9.91105192052478,0.00172738111708373,1.72738111708373,1.17644289197095,0.614378582167884,1.79082147413883,44.1902014141062,14.5259007420494,0.0145259007420494,NA,NA,NA,NA,NA
"5",5,"BB1","1",0.239647150724406,0.0645791022302944,0.137453359550796,0.377100510275202,0.411530765498031,0.00926290419723434,-2.89826833090264e-05,0.24867322100929,0.0670114095366962,0.142630402884917,0.391303623894207,0.427030660249748,0.00961178222091898,9.61178222091898,-3.00742870931776e-05,-0.0300742870931776,1.42511611298024,0.757008985052801,2.18212509803304,53.8019836350252,14.4958264549563,0.0144958264549563,NA,NA,NA,NA,NA
"6",6,"BB1","1",0.184472854296418,0.178486735089379,0.177242809809913,0.361715664106331,0.379740331607024,0.00951852069042258,0.00373756679316263,0.191420839880638,0.185209259479785,0.183918482998594,0.375339322879232,0.394042871456671,0.00987702625370666,9.87702625370666,0.00387833850886031,3.87833850886031,1.61653695286087,0.940927468051395,2.55746442091227,63.6790098887318,18.3741649638166,0.0183741649638166,NA,NA,NA,NA,NA
"7",7,"BB1","1",0.148512826890649,0.165816854567032,0.24546538318969,0.393978210080339,0.465742694178247,0.00741002718111686,0.0101822345441434,0.154106414002658,0.172062180577445,0.254710591382147,0.408817005384805,0.483284427011776,0.00768911844486644,7.68911844486644,0.010565738226014,10.565738226014,1.77064336686353,1.19563805943354,2.96628142629707,71.3681283335983,28.9399031898305,0.0289399031898305,-0.0284653333333333,0.01164,-0.029537451648,0.01207840896,12.07840896
"8",8,"BB1","1",0.256347858874533,0.129126417159337,0.270300558776922,0.526648417651455,0.385495503195082,0.00982614861926297,0.00796715891781806,0.266002944631184,0.133989834535227,0.280481159022696,0.54648410365388,0.400014805827422,0.0101962406808589,10.1962406808589,0.00826723399129876,8.26723399129876,2.03664631149472,1.47611921845624,3.51276552995095,81.5643690144572,37.2071371811293,0.0372071371811293,0.65852825,0.011745,0.683331058008,0.01218736368,12.18736368
"9",9,"BB1","1",0.173832139708122,0.160602048416465,0.312422894979414,0.486255034687537,0.32439727429613,0.00824871062524477,0.00982565492987162,0.180379353418089,0.166650963968023,0.324189990895919,0.504569344314008,0.33661537323522,0.00855939006223399,8.55939006223399,0.0101957283971503,10.1957283971503,2.2170256649128,1.80030920935216,4.01733487426496,90.1237590766912,47.4028655782796,0.0474028655782796,NA,NA,NA,NA,NA
"10",10,"BB1","1",0.347529158566776,0.0907194131495443,0.191919400339141,0.539448558905917,0.35274853202412,0.00948039585451023,0.0237135340840366,0.360618496795035,0.0941362691264088,0.199147852633515,0.55976634942855,0.366034452734277,0.0098374654839745,9.8374654839745,0.0246066806317778,24.6066806317778,2.57764416170784,1.99945706198567,4.57710122369351,99.9612245606657,72.0095462100574,0.0720095462100574,0.463612333333333,0.00983144666666667,0.481073828256,0.01020173827392,10.20173827392
