"","jday","Site","month","TS.5_mean","TS.10_mean","TS.30_mean","RH_mean","PARin_mean","SWin_mean","VPD_mean","Ta_mean","WTH._mean","SWC_mean","Precip_mean","TS.5_min","TS.10_min","TS.30_min","RH_min","PARin_min","SWin_min","VPD_min","Ta_min","WTH._min","SWC_min","Precip_min","TS.5_max","TS.10_max","TS.30_max","RH_max","PARin_max","SWin_max","VPD_max","Ta_max","WTH._max","SWC_max","Precip_max"
"11",6,"BB1","Jan",6.61839502975,6.50216081100781,NA,96.4220420520833,55.9908021820452,29.3746318854167,0.0385745350316356,5.7919174375,12.688648170875,NA,0.233333333333333,NA,NA,NA,80.983704,0,0,0,2.959681,10.424519418,NA,0,NA,NA,NA,100,549.587146986161,316.258118,0.243026715797862,10.607424,15.5421781639999,NA,1.8
"12",6,"BB2","Jan",5.25722375,5.40465053819444,5.51908803125,94.6172870014396,62.8709626770833,30.7699240625,0.0543724974937086,5.01642898958333,12.7851842604167,NA,0.236458333333333,4.48211766666667,4.89557366666667,5.13637366666667,73.499268,-1.631038,-2.926848,-0.000415090459036945,1.815259,8.240501,NA,0,6.341201,6.15657866666667,6.00915266666667,100.057602,610.212097,308.505005,0.321344003643156,9.821493,17.452805,NA,1.9
"13",7,"BB1","Jan",6.68300607195,6.50014511006094,NA,94.5220612395833,38.9425282062039,21.1232870416667,0.0564790330213532,6.62671378125,12.9128177721667,NA,0.205208333333333,NA,NA,NA,77.916763,0,0,0,0.452435,11.497502406,NA,0,NA,NA,NA,100,350.060012135019,222.339691,0.250056686940326,10.081257,14.122498524,NA,2
"14",7,"BB2","Jan",5.32964141666667,5.40249597569444,5.50997927083333,93.7709190128453,40.8118347708333,19.5054998541667,0.0631335947312194,5.81581653125,12.9172783958333,NA,0.194791666666667,4.129052,4.67473766666667,5.01813066666667,71.391632,-1.189992,-3.276291,-0.00533232154788888,-1.28865,10.360001,NA,0,6.46211833333333,6.11825466666667,6.02849333333333,100.889702,430.827087,221.004593,0.309149434728806,10.02909,15.047806,NA,2
"15",8,"BB1","Jan",6.26983985984375,6.241646482775,NA,85.15025959375,45.388947393881,21.8232594583333,0.133968237844796,4.85582959375,12.4628751850833,NA,0.102083333333333,NA,NA,NA,58.975739,0,0,0,-0.3394,11.355889988,NA,0,NA,NA,NA,100,313.029229168121,142.724579,0.381359082914772,7.101371,13.393743474,NA,1.4
"16",8,"BB2","Jan",4.86655442708333,5.12618938888889,5.29202886805556,81.856932968208,42.3700755208333,20.4399046666667,0.161906907023685,4.25529836458333,12.4200594895833,NA,0.1,4.00617666666667,4.49140533333333,4.86512,52.64639649787,-1.572787,-4.176331,-0.00595865405533838,-1.738533,10.201698,NA,0,5.947398,5.90705866666667,5.79281,101.035599,261.414795,134.816803,0.429636918392056,7.111251,14.328903,NA,1.4
"17",9,"BB1","Jan",5.19680929978333,5.36814706391563,NA,92.0835090416667,86.9332867740838,36.38758778125,0.0690173317617981,2.84788517708333,11.6626998132917,NA,0.00208333333333333,NA,NA,NA,74.309715,0,0,0,-2.677159,10.509355984,NA,0,NA,NA,NA,100,517.206651958031,252.530579,0.246302540035731,7.418349,12.73543863,NA,0.1
"18",9,"BB2","Jan",3.66387502777778,4.19251463194444,4.64512893055556,90.1114912203378,90.5643111666667,43.8144428958333,0.084598200513142,2.33143442708333,11.3069583958333,NA,0.00104166666666667,2.586976,3.354477,3.99575066666667,70.07085344595,-1.173349,-3.469014,-0.0088112670393667,-3.564781,9.005501,NA,0,4.86213966666667,5.040521,5.26960466666667,101.540604,549.592529,249.906296,0.282091783096032,6.358092,13.563904,NA,0.1
"19",10,"BB1","Jan",5.40441639585833,5.37434368908594,NA,95.8513843541667,33.8165762356676,10.6655514583333,0.0388087929702016,4.534677125,11.808637431625,NA,0.330208333333333,NA,NA,NA,81.24295,0,0,0.00045468056151068,0.567641,9.952045398,NA,0,NA,NA,NA,99.948616,403.320973784311,117.948,0.18239987316799,8.367929,13.21495502,NA,1.7
"20",10,"BB2","Jan",3.89656623611111,4.19913814236111,4.56880219097222,93.9948124045912,33.3481720416667,16.1671696458333,0.0543549130956909,4.28154308333333,11.37363121875,NA,0.488541666666667,2.25062466666667,2.849046,3.496662,73.977173,-0.524262,-1.660383,0.00600404446168248,0.9274,8.917801,NA,0,5.76494933333333,5.67615533333333,5.738221,99.202248,413.218506,208.8694,0.239678334020189,7.921948,12.896698,NA,2.2
"21",11,"BB1","Jan",6.09474291155833,5.86483319339844,NA,88.4644457291667,52.1953843495286,22.55305696875,0.116199125646382,6.78019534375,12.4985321054792,NA,0.261458333333333,NA,NA,NA,57.223347,0,0,0,1.635679,11.850852064,NA,0,NA,NA,NA,100,547.330939406794,272.15741,0.400438845280716,10.455771,14.012243618,NA,1.8
"22",11,"BB2","Jan",4.67030140277778,4.72341744791667,4.90518135763889,85.4469861772505,54.59661103125,25.5471248854167,0.14553796583003,6.46187029166667,12.48138953125,NA,0.314583333333333,2.90522033333333,3.34895333333333,3.84214166666667,50.65510089651,-0.532584,-2.793421,0.00607781546976122,1.328812,12.128304,NA,0,6.32898033333333,6.140864,6.05016866666667,99.263495,534.333374,267.824585,0.471617683096249,9.712955,13.098297,NA,2.9
"23",12,"BB1","Jan",6.43972376717292,6.185671486775,NA,94.7443658333333,43.7940107489188,19.6937218333333,0.0428303282647446,6.28240938541667,13.1503141884792,NA,0.367708333333333,NA,NA,NA,72.65596,0,0,0,-3.491251,12.32100361,NA,0,NA,NA,NA,100,321.137430744915,168.984039,0.21062601977004,11.977388,13.981715104,NA,2.3
"24",12,"BB2","Jan",5.05696454513889,5.06635827777778,5.14045427430556,93.1207255365105,43.8703643125,21.2632664479167,0.0580949027551372,5.95562582291667,13.5885355208333,NA,0.388541666666667,2.499608,2.96506033333333,3.33881566666667,68.1916420268,-1.098458,-1.086417,0.00278946691157181,-4.33207,12.162201,NA,0,7.47832466666667,7.03271433333333,6.74826266666667,99.734238,328.013,179.060593,0.250261036688379,11.25277,14.896698,NA,2.6
"25",13,"BB1","Jan",5.563369533475,5.6171820604625,NA,75.3491537708333,87.6963622871949,47.5247551145833,0.17486047342341,0.7014504375,12.5115118670833,NA,0.00625,-128.587601,-120.805618,NA,58.555424,0,0,0.0201305174056657,-6.737911,11.44753951,NA,0,6.764384,6.718459,NA,98.587479,552.389342877743,319.62616,0.50388199045215,12.374728,14.099590942,NA,0.5
"26",13,"BB2","Jan",4.074724875,4.45870563888889,4.66178536458333,70.2493438699459,103.100644833333,48.1488274479167,0.210098554936594,0.366442489583333,12.8359876979167,NA,0.00416666666666667,1.51505933333333,2.17165333333333,2.79867166666667,50.094131,-3.128933,-4.100133,0.0229584137192549,-6.653678,10.300003,NA,0,7.56209566666667,7.11057133333333,6.85380033333333,96.683197,645.188416,330.384705,0.599767403739017,11.6398,15.695007,NA,0.4
"27",14,"BB1","Jan",4.63300551428542,4.79920071888125,NA,76.09462828125,75.1735054934564,35.15394725,0.15553215819353,-0.712888791666667,11.775420101,NA,0.00416666666666667,NA,NA,NA,59.374477,0,0,0.0232015994068265,-8.422523,10.900402658,NA,0,NA,NA,NA,93.732582,455.837857302584,252.968002,0.475152428503825,9.346603,12.690112456,NA,0.4
"28",14,"BB2","Jan",3.03194969097222,3.58437359722222,4.05156620833333,72.0860330195427,78.9576937916667,36.4410325208333,0.173530690529314,-1.28309230208333,11.3876937395833,NA,0.00416666666666667,0.555076666666667,1.333579,2.17263,51.496712,-1.422998,-2.727774,0.0289435182398622,-8.519351,8.9972,NA,0,5.98134833333333,5.959161,6.04585233333333,91.12996871405,502.592804,261.76239,0.551413271111134,8.870836,13.699402,NA,0.4
"29",15,"BB1","Jan",3.7581147859875,3.78361574824063,NA,93.313732578125,36.187245133618,12.50714246875,0.0309612702501211,-2.74999671875,11.47782250075,NA,0.034375,NA,NA,NA,70.613235,0,0,0,-8.751734,10.889322236,NA,0,NA,NA,NA,100,327.840727958622,107.789703,0.179376893728414,7.650717,12.341002844,NA,0.7
"30",15,"BB2","Jan",2.05135035416667,2.49882502083333,3.04114978645833,91.410765779398,37.852215328125,13.834976953125,0.042144673609493,-2.71747490625,10.228915984375,NA,0.021875,0.731504333333333,1.297674,1.97968266666667,65.87043232755,-1.006916,-0.705198,0.00296387765810795,-9.421757,8.896698,NA,0,5.85789533333333,5.863812,5.91966666666667,99.696854,328.828888,125.030701,0.213072662508137,7.743731,13.586098,NA,0.4
"31",16,"BB1","Jan",2.53890225286667,2.54597892065,NA,86.0731708541667,85.0372629066553,39.5721630416667,0.0846228676776267,-0.660582,10.7709606260417,NA,0.09375,-125.997459,-149.922897,NA,70.596375,0,0,0.00250414678065539,-4.849629,10.619659332,NA,0,4.339187,4.358621,NA,99.493423,504.174333771619,290.638275,0.175842115316667,2.639951,11.084392686,NA,1.6
"32",16,"BB2","Jan",0.684826555555556,1.17592744444444,1.83374289583333,83.4380212367152,98.7796494375,38.3846490208333,0.100354764892464,-1.18271354166667,8.85327508333333,NA,0.03125,0.331375666666667,0.764436,1.432368,65.85127380375,-0.033284,-2.748872,0.00598098996325035,-7.191462,8.456703,NA,0,0.961599666666667,1.51903233333333,2.079867,98.68785635759,605.103577,255.213196,0.205469978120064,3.071092,9.293297,NA,0.4
"33",17,"BB1","Jan",4.03178847916667,4.10734452083333,NA,89.3971258125,116.01025828718,54.2657847291667,0.0729014457716705,-0.404522979166667,10.3829362263333,NA,0.0104166666666667,3.897877,3.999474,NA,76.499817,0,0,0.00433489263398537,-4.24395,10.2536462039999,NA,0,4.106124,4.234825,NA,99.120079,691.398395611009,333.665955,0.186418886887341,3.648753,10.614157052,NA,0.2
"34",17,"BB2","Jan",0.598446736111111,1.09160093055556,1.6980843125,87.2151309745181,137.601582104167,51.6094001041667,0.0864927758307024,-1.05434247916667,8.0085983125,NA,0.06875,0.295955666666667,0.724862333333333,1.34122533333333,72.55953205161,0,-3.538735,0.00733409335091563,-6.29109,7.655602,NA,0,0.944774333333333,1.57904533333333,2.10924666666667,98.26361437007,863.25238,336.062408,0.208877400123188,3.14597,8.409401,NA,0.7
"35",18,"BB1","Jan",3.81297839583333,3.86231579166667,NA,95.5322084583333,49.9373902990216,20.266497,0.0329140995898326,2.60376097916667,10.367951044,NA,0.08125,3.560314,3.592952,NA,83.101608,0,0,0.00995999644738635,0.394734,9.36088025199996,NA,0,4.017887,4.027879,NA,98.42453,367.926808620328,155.722153,0.111107376552984,4.345457,10.97721339,NA,0.5
"36",18,"BB2","Jan",0.620838,1.02769486805556,1.60705147222222,94.1866094374579,53.1268817083333,19.5644369166667,0.042379794273807,2.47060225,7.8590648125,NA,0.214583333333333,0.573471333333333,0.95704,1.545406,80.06134521864,-1.689287,-0.423557,0.0161361207979393,0.60819,7.563301,NA,0,0.692246,1.12204633333333,1.68069033333333,97.4732411749,346.522614,131.680298,0.133430383513196,4.253322,8.100601,NA,1.4
"37",19,"BB1","Jan",3.35488335416667,3.3385335625,NA,98.9424867916667,45.3456826597065,18.932370125,0.0087075342039063,4.98026958333333,10.6716091307083,NA,0.05625,3.221162,3.158958,NA,96.001053,0,0,0,3.440776,10.533545908,NA,0,3.534071,3.615538,NA,100,259.502099966932,108.037361,0.0331405119388176,6.860482,10.899398172,NA,0.7
"38",19,"BB2","Jan",0.6715851875,0.978095666666667,1.52435685416667,98.0618110159746,48.7358661875,18.78735575,0.0160396455458023,5.0098941875,8.40952491666667,NA,0.0729166666666667,0.555405,0.831716666666667,1.40232566666667,94.71937155549,-2.99578,-0.798413,0.00619115377640403,2.80581,7.997803,NA,0,0.811398333333333,1.10273166666667,1.63254133333333,99.263495,276.184814,103.656502,0.0403658250613892,6.822217,8.878899,NA,0.9
"39",20,"BB1","Jan",3.27569139583333,3.11661683333333,NA,97.9553384583333,61.7402222196161,27.284299875,0.021225958093328,6.15783189583333,10.5676751059583,NA,0.10625,3.101462,2.996035,NA,90.578156,0,0,0,4.04979,10.4528653,NA,0,3.516843,3.232847,NA,100,368.588640776627,165.227493,0.0974405173563558,8.493145,10.713595682,NA,0.9
"40",20,"BB2","Jan",1.45195943055556,1.46273864583333,1.91340035416667,96.9400847503579,68.2132690416667,27.6281911458333,0.0320003584015532,6.536675,9.12305177083333,NA,0.145833333333333,0.745874,0.999625333333333,1.46290533333333,88.55717100748,-3.220462,-0.853478,0.00641717037195034,4.786101,8.798897,NA,0,2.31015666666667,2.21709333333333,2.500391,99.263495,422.57959,168.822601,0.121649023712145,9.281366,9.383904,NA,1.3
"41",21,"BB1","Jan",3.81712341666667,3.42426202083333,NA,89.4441519375,48.9232978612478,21.2335716458333,0.11312600928774,7.83334,10.5209906708333,NA,0.110416666666667,3.517225,3.223345,NA,82.176445,0,0,0.0356400434571771,6.676719,10.215648482,NA,0,4.326592,3.785479,NA,96.453918,273.038191446851,118.496063,0.205000525800365,9.127102,11.412707884,NA,1
"42",21,"BB2","Jan",3.26560970138889,3.03040563888889,3.05997359722222,87.2685681711394,53.4096570625,21.7121960208333,0.138156809199501,8.04065383333333,9.101925375,NA,0.11875,2.152858,2.20962933333333,2.38156533333333,79.01005474685,-0.657399,-1.683616,0.0485566742659937,7.088876,8.991096,NA,0,4.107555,3.712615,3.57375133333333,95.23397564094,293.263885,117.184402,0.24528633516328,9.360229,9.221703,NA,0.8
"43",22,"BB1","Jan",4.6716669375,4.10862691666667,NA,96.6398997708333,27.5387647531947,11.2090511458333,0.0339300296223084,6.63924683333333,10.6660141749167,NA,0.29375,4.359912,3.801047,NA,87.728966,0,0,0.00307339198386928,5.670789,9.530155794,NA,0,4.995474,4.393183,NA,99.66571,229.205141197608,99.465324,0.131766059121509,8.021736,11.29220978,NA,1.1
"44",22,"BB2","Jan",4.1424844375,3.83804259027778,3.67592004861111,95.445312306591,27.9866006875,10.6075386875,0.0468879542861169,6.969199875,9.12711097916667,NA,0.410416666666667,3.771226,3.530196,3.41511466666667,85.31955093478,-0.382786,-1.503633,0.0104828303457136,5.860534,8.625,NA,0,4.452263,4.088994,3.89915533333333,98.8836312443,224.279602,91.833702,0.161019775548005,8.402457,9.916702,NA,1.8
"45",23,"BB1","Jan",5.22378302083333,4.56974070833333,NA,99.1756591875,32.1237696175719,13.13176875,0.00983809727540873,8.89181504166667,12.9034548323333,NA,0.664583333333333,4.960836,4.376945,NA,94.265602,0,0,0,5.857742,10.825962842,NA,0,5.69982,4.896428,NA,100,202.547976824403,84.630905,0.0734568221413547,11.039557,14.17134634,NA,2.2
"46",23,"BB2","Jan",5.1847021875,4.63523570833333,4.40262284027778,98.3267718045319,32.13793,13.3672633333333,0.0200346121768834,9.33056104166667,12.0075068333333,NA,0.827083333333333,4.28034433333333,4.017144,3.85068166666667,92.74732652066,-2.995748,-0.459554,0.00795825950909196,6.158982,9.919403,NA,0,5.82190666666667,5.170454,4.84971666666667,99.263495,213.639893,85.344971,0.0923564181897934,11.60564,13.084999,NA,3
"47",24,"BB1","Jan",6.12756325,5.36360004166667,NA,95.7211340625,65.8068890805857,29.5738367291667,0.049608919406398,8.89766277083333,13.1412405962917,NA,0.214583333333333,5.707161,4.903969,NA,89.893303,0,0,0.00106621517842849,6.762704,12.520299482,NA,0,6.41152,5.904832,NA,99.906448,488.632459952363,228.604309,0.121102936719046,10.278526,14.828186042,NA,5
"48",24,"BB2","Jan",5.84741820833333,5.42610958333333,5.0660140625,94.4012912692406,68.4111080416667,28.9894556875,0.0659675338696465,9.13384058333333,12.9002919166667,NA,0.197916666666667,5.51838033333333,5.06801433333333,4.75830566666667,87.77895199799,-1.023542,-1.90181,0.00979582342361544,6.676475,12.407799,NA,0,6.49139733333333,5.99871066666667,5.59898333333333,99.15718905584,513.993774,233.409897,0.151739961276285,10.42558,13.311096,NA,4.9
"49",25,"BB1","Jan",6.32535533333333,6.04456329166667,NA,97.0296360625,52.7470594029108,22.956837375,0.0310098480825829,7.33429725,12.423206461625,NA,0.160416666666667,6.228382,5.929659,NA,92.114273,0,0,0.000587889269480153,6.432385,12.087845866,NA,0,6.443722,6.159414,NA,99.941856,275.468126164853,120.993782,0.0793513894970173,8.760262,12.7498387,NA,1.5
"50",25,"BB2","Jan",5.88017015972222,5.59475502083333,5.31979153472222,95.8881813469006,50.3422450416667,21.3155253958333,0.0437275051955198,7.6699238125,12.2532580625,NA,0.191666666666667,5.42624633333333,5.29362666666667,4.96655633333333,90.30270683809,-1.148365,-1.486717,0.00830026945720386,6.620447,11.801697,NA,0,6.473479,5.97284366666667,5.65800866666667,99.19742422848,269.209412,116.127701,0.0981487600872622,9.128222,12.655602,NA,2
"51",26,"BB1","Jan",6.50865839583333,6.25895291666667,NA,87.98048125,82.5900979136618,37.2340338541667,0.139487083702064,8.8357388125,11.7638897625,NA,0.0395833333333333,6.410327,6.158155,NA,78.005302,0,0,0.0439452822274573,6.51962,11.445781888,NA,0,6.726286,6.426446,NA,95.488266,469.671623490838,222.375748,0.270092975915503,10.628279,12.085984048,NA,0.6
"52",26,"BB2","Jan",6.30035122222222,5.99102659027778,5.70018427083333,85.6053552588125,85.61149025,36.6851203333333,0.169712975783334,9.09950114583333,11.2821270416667,NA,0.0395833333333333,5.806967,5.63461433333333,5.38728633333333,74.27025982166,-1.006894,-2.077548,0.0575611757196384,6.710743,10.699402,NA,0,6.94222933333333,6.42403,6.11056233333333,94.13667630378,524.963074,237.134201,0.320269609649139,10.8924,11.796097,NA,0.8
"53",27,"BB1","Jan",6.66775166666667,6.44576725,NA,87.845082,105.427939520002,49.07647825,0.131604983131905,7.50272145833333,11.2121914982917,NA,0.108333333333333,6.514598,6.302761,NA,75.143242,0,0,0.0324299824196196,5.483834,10.989039636,NA,0,6.788035,6.518658,NA,96.404366,622.272098365242,301.238953,0.292518181714604,9.445328,11.887482442,NA,1.1
"54",27,"BB2","Jan",6.18150963194444,6.07357861111111,5.82603660416667,85.45149702906,112.252582083333,47.2863668125,0.160050570455115,7.72239054166667,10.2035622708333,NA,0.154166666666667,5.507516,5.641658,5.490907,71.01801518186,-0.324538,-2.704464,0.0435438067612621,5.500352,9.852203,NA,0,6.712571,6.50112866666667,6.24958466666667,95.17766821678,664.272827,279.791901,0.349348872335395,9.833793,10.671097,NA,2
"55",28,"BB1","Jan",6.5886679375,6.42926872916667,NA,94.909939625,89.7553515469809,40.43436475,0.0530935534144734,6.48563820833333,11.03022276225,NA,0.03125,6.465902,6.312284,NA,85.229828,0,0,0.00542145328765045,4.514153,10.628466636,NA,0,6.765368,6.557939,NA,99.425438,627.066544098647,303.219666,0.173226858643573,9.325154,12.303263784,NA,0.8
"56",28,"BB2","Jan",6.10159497222222,6.04688845138889,5.87048980555556,93.4795066940762,87.1105362083333,38.5877978333333,0.0676953455436548,6.3380351875,9.79238127083333,NA,0.0416666666666667,5.58517233333333,5.682512,5.59336633333333,82.47970545124,-0.016643,-2.977672,0.012973007734867,3.008408,9.297203,NA,0,7.17188,6.87290466666667,6.58378266666667,98.61060296254,591.786377,272.734589,0.206155085101394,9.518454,10.237198,NA,1.1
"57",29,"BB1","Jan",6.81083077083333,6.61777658333333,NA,95.0370991458333,97.3035490345131,49.443814125,0.0556136418796821,7.89014575,11.1352370588333,NA,0.225,6.663705,6.529941,NA,87.751175,0,0,0.00701658327746507,4.821411,10.552924536,NA,0,7.008874,6.74906,NA,99.185326,757.135446021072,383.837097,0.153744198598383,10.439107,11.642853084,NA,1.3
"58",29,"BB2","Jan",6.39831979166667,6.28912909722222,6.08434579861111,93.6240018723848,107.5632184375,47.9029636041667,0.0711624633284969,7.83443002083333,9.800472875,NA,0.28125,5.67355833333333,6.00503533333333,5.75971066666667,85.34478768775,-0.016643,-2.672704,0.013657209462828,4.147938,9.158897,NA,0,7.25757166666667,6.97366,6.69885933333333,98.33775649358,829.552612,380.700592,0.186310195216017,10.56891,10.358902,NA,1.5
"59",30,"BB1","Jan",6.73138570833333,6.61410197916667,NA,92.077711125,77.4562670248096,34.2772822916667,0.0845748702827001,6.4105979375,10.95041662375,NA,0.270833333333333,6.553852,6.51259,NA,69.23819,0,0,0.00148986311990674,4.359766,10.61841812,NA,0,6.908201,6.688994,NA,99.838928,465.819984670329,211.538162,0.353140591413215,9.100312,12.080049446,NA,1.5
"60",30,"BB2","Jan",5.72326123611111,5.84166379861111,5.79977711805556,90.2611604826713,73.096901625,32.3928523333333,0.102839726727919,6.21862383333333,9.47638722916667,NA,0.447916666666667,4.95374066666667,5.37622366666667,5.422373,64.3079274427,0,-2.371916,0.00846635107360839,3.750847,9.1017,NA,0,6.61722166666667,6.34708833333333,6.239055,99.08046405424,432.906097,198.328293,0.404804169160646,9.275236,10.687202,NA,3
"61",31,"BB1","Jan",6.81550058333333,6.6660634375,NA,98.7870228125,17.3699035458965,6.73357366666667,0.0160362924251532,8.94234245833333,13.7383932420417,NA,1.00833333333333,6.696116,6.5933,NA,93.930023,0.00433432633262631,0.008507,0,5.855388,11.737111162,NA,0,7.047571,6.832759,NA,100,105.493234598421,42.666595,0.0828431869408187,11.597557,15.878450646,NA,3.2
"62",31,"BB2","Jan",6.56353197222222,6.32149015277778,6.1779211875,97.8851526325281,16.8884059166667,6.76206658333333,0.0268103429159306,9.04150858333333,13.4866292708333,NA,1.25208333333333,5.923486,5.882709,5.80231433333333,92.36599803559,0.016643,-0.184246,0.0068853068867775,5.770771,10.862198,NA,0,7.22776733333333,6.83510366666667,6.602034,99.263495,103.292503,43.90958,0.104601837966539,11.65738,15.862198,NA,4.3
"63",32,"BB1","Feb",8.20291303498333,7.89145238884062,NA,83.0113566770833,NA,77.0688272708333,0.16996392984121,7.31519728125,13.0628360726781,NA,0.139583333333333,NA,NA,NA,58.826412,NA,0,0.00805573566496125,0.572154,NA,NA,0,NA,NA,NA,99.339981,NA,504.19104,0.438783962885163,10.976876,NA,NA,1.3
"64",32,"BB2","Feb",7.03319102777778,6.88965035416667,6.55918450694444,79.9587899328701,166.590213833333,76.3452579375,0.204211536293494,7.421447875,15.5038725208333,NA,0.160416666666667,5.894468,6.28453766666667,5.95200666666667,52.47671174796,-0.033285,-4.540633,0.0185569098025252,-0.226652,14.391098,NA,0,7.51554566666667,7.43330133333333,7.010806,98.51349560973,925.046875,435.463593,0.526006011944045,11.21654,16.298904,NA,1.4
"65",33,"BB1","Feb",6.41210269570417,6.58942492267813,NA,90.4591133020833,NA,61.9424365625,0.0780172697724455,2.41371844791667,12.0205198330845,NA,0.0583333333333333,NA,NA,NA,75.907593,NA,0,0.00280855679816861,-0.271922,NA,NA,0,NA,NA,NA,99.585342,NA,415.622894,0.203877607158882,5.700777,NA,NA,0.7
