"","jday","Site","month","TS.5","TS.10","TS.30","RH","PARin","SWin","VPD","Precip","Ta","WTH","SWC","month_local","NEE_f","GPP_DT","GPP_f","Reco","Reco_DT","CH4_f","CH4_f_RF","NEEgC_f","GPPgC_DT","GPPgC_f","RecogC","RecogC_DT","CH4gC_f","CH4mgC_f","CH4gC_f_RF","CH4mgC_f_RF","NEEcum","GPPcum_f","Recocum","CH4mgCcum","CH4cum_f_RF","CH4cum_f_RF_gC","co2","ch4","co2gC","ch4gC","ch4mgC","CH4_gC","CH4_mgC","logCH4_gC","logCH4_mgC","Period"
"1",1,"BB2","Jan",5.79391034751773,5.70286895035461,5.60259390070922,87.5573259392198,59.4112099148936,29.383525787234,0.148303570007087,13.8,8.43492530851064,12.8231891808511,NA,"1",0.498892891838297,0.269630404826864,0.215343472797753,0.71423636463605,0.857657309682667,NA,0.0191479929725604,0.517683193716495,0.279785764394263,0.223454169357207,0.741137363073702,0.889960114594554,NA,NA,0.0198691829798789,19.8691829798789,0.517683193716495,0.223454169357207,0.741137363073702,NA,19.8691829798789,0.0198691829798789,0.258613695652174,0.00269864365217391,0.268354121885217,0.00280028536668939,2.80028536668939,0.0328002853666894,28.8002853666894,-3.41731806342594,3.36038529565841,"NGS"
"2",2,"BB2","Jan",5.39026627777778,5.48332526041667,5.53049407986111,91.2251379273817,15.2489395208333,6.76517132291667,0.0812332240927755,20.3,5.83837367708333,12.2767231770833,NA,"1",0.655682507784208,0.11221665473453,-0.0159198846173422,0.639762623166866,0.807938076450039,NA,0.0179127069933299,0.680378133757392,0.116443182818451,-0.0165194911515697,0.663858642605822,0.838368256161453,NA,NA,0.0185873711895266,18.5873711895266,1.19806132747389,0.206934678205638,1.40499600567952,NA,38.4565541694055,0.0384565541694055,0.582198692307692,0.0268818576923077,0.604126623854769,0.0278943359804308,27.8943359804308,0.0578943359804308,53.8943359804308,-2.84913572336046,3.98702538854225,"NGS"
"3",3,"BB2","Jan",5.80607986111111,5.71857347222222,5.70821456944444,85.9920631784707,53.0180819270833,26.52494825,0.17416038810619,20.6,7.91411414583333,12.9450669375,NA,"1",0.582680726275517,0.216511985355158,0.120318017676183,0.7029987439517,0.797883021438762,NA,0.0148102138355056,0.604626813149958,0.224666692771575,0.124849675493939,0.729476488643897,0.827934487558232,NA,NA,0.0153680257294061,15.3680257294061,1.80268814062385,0.331784353699577,2.13447249432342,NA,53.8245798988116,0.0538245798988116,0.324883909090909,0.00717220545454545,0.337120336642909,0.00744233940078546,7.44233940078546,0.0374423394007855,33.4423394007855,-3.28495314532945,3.509822743927,"NGS"
"4",4,"BB2","Jan",5.69997388194444,5.73443160763889,5.72621351736111,88.899983879074,47.60134109375,23.5505551875,0.108758170779867,21.3,5.98147060416667,12.6724996041667,NA,"1",0.219504654709183,0.189969169110894,0.430311848749578,0.649816503458762,0.6842193667486,NA,0.0142819411180586,0.22777207802415,0.197124167896287,0.446519114220882,0.674291192245033,0.709989804977819,NA,NA,0.0148198561483292,14.8198561483292,2.030460218648,0.778303467920459,2.80876368656845,NA,68.6444360471408,0.0686444360471408,0.380765307692308,0.0165426121538462,0.395106452241231,0.0171656730980086,17.1656730980086,0.0471656730980086,43.1656730980086,-3.05408891584871,3.76504557517204,"NGS"
"5",5,"BB2","Jan",5.20669238194444,5.41821213541667,5.5243279375,87.9487281304673,39.1900289583333,20.3393798958333,0.11702507960457,17.6,5.70025001041667,12.2322886666667,NA,"1",0.616668452966764,0.146093887897304,0.0102069490888103,0.626875402055574,0.64842183757161,NA,0.0145645954045156,0.639894653579304,0.151596368091068,0.0105913836192912,0.650486037198595,0.672843997661907,NA,NA,0.0151131563258313,15.1131563258313,2.6703548722273,0.78889485153975,3.45924972376705,NA,83.7575923729721,0.0837575923729721,0.3905146875,0.0057825814375,0.40522303269,0.006000376584762,6.000376584762,0.036000376584762,32.000376584762,-3.32422587989291,3.46574767100429,"NGS"
"6",7,"BB1","Jan",6.68300607195,6.50014511006094,NA,94.5220612395833,38.9425282062039,21.1232870416667,0.0564790330213532,19.7,6.62671378125,12.9128177721667,NA,"1",0.148512826890649,0.165816854567032,0.24546538318969,0.393978210080339,0.465742694178247,0.00741002718111686,0.0101822345441434,0.154106414002658,0.172062180577445,0.254710591382147,0.408817005384805,0.483284427011776,0.00768911844486644,7.68911844486644,0.010565738226014,10.565738226014,1.77064336686353,1.19563805943354,2.96628142629707,71.3681283335983,28.9399031898305,0.0289399031898305,-0.0284653333333333,0.01164,-0.029537451648,0.01207840896,12.07840896,0.04207840896,38.07840896,-3.16822052115343,3.63964742753769,"NGS"
"7",7,"BB2","Jan",5.32964141666667,5.40249597569444,5.50997927083333,93.7709190128453,40.8118347708333,19.5054998541667,0.0631335947312194,18.7,5.81581653125,12.9172783958333,NA,"1",0.57932710224622,0.161351627190064,0.0221912519229396,0.601518354169159,0.497688141455941,NA,0.0139734903079314,0.601146878225221,0.167428774876551,0.0230270632353652,0.624173941460586,0.516433067615738,NA,NA,0.0144997878468893,14.4997878468893,3.83282666809036,0.860018459325345,4.6928451274157,NA,106.375831483801,0.106375831483801,0.556234,0.00853333333333333,0.577183997376,0.0088547328,8.8547328,0.0388547328,34.8547328,-3.2479253871944,3.55118893286393,"NGS"
"8",8,"BB1","Jan",6.26983985984375,6.241646482775,NA,85.15025959375,45.388947393881,21.8232594583333,0.133968237844796,9.8,4.85582959375,12.4628751850833,NA,"1",0.256347858874533,0.129126417159337,0.270300558776922,0.526648417651455,0.385495503195082,0.00982614861926297,0.00796715891781806,0.266002944631184,0.133989834535227,0.280481159022696,0.54648410365388,0.400014805827422,0.0101962406808589,10.1962406808589,0.00826723399129876,8.26723399129876,2.03664631149472,1.47611921845624,3.51276552995095,81.5643690144572,37.2071371811293,0.0372071371811293,0.65852825,0.011745,0.683331058008,0.01218736368,12.18736368,0.04218736368,38.18736368,-3.1656345416435,3.64250466717094,"NGS"
"9",8,"BB2","Jan",4.86655442708333,5.12618938888889,5.29202886805556,81.856932968208,42.3700755208333,20.4399046666667,0.161906907023685,9.6,4.25529836458333,12.4200594895833,NA,"1",0.362999823565534,0.115991926624897,0.209576258672223,0.572576082237757,0.388250475440382,NA,0.00644418705163281,0.376671848920307,0.120360646549297,0.217469738878853,0.59414158779916,0.402873541347369,NA,NA,0.00668690091274551,6.68690091274551,4.20949851701067,1.0774881982042,5.28698671521486,NA,113.062732396547,0.113062732396547,0.0553097677419355,0.00164672025806452,0.0573929548341677,0.00170874232986426,1.70874232986426,0.0317087423298643,27.7087423298643,-3.45116285284364,3.32174797097603,"NGS"
"10",9,"BB2","Jan",3.66387502777778,4.19251463194444,4.64512893055556,90.1114912203378,90.5643111666667,43.8144428958333,0.084598200513142,0.1,2.33143442708333,11.3069583958333,NA,"1",0.509813243380424,0.152482785255659,0.0320345349078369,0.541847778288261,0.383137609879868,NA,0.0112931199839536,0.529014849379105,0.158225896879528,0.0332410836306057,0.56225593300971,0.397568104818384,NA,NA,0.0117184640550292,11.7184640550292,4.73851336638977,1.1107292818348,5.84924264822457,NA,124.781196451576,0.124781196451576,0.290745380952381,0.00160590476190476,0.301696014980571,0.00166638955885714,1.66638955885714,0.0316663895588571,27.6663895588571,-3.45249942686093,3.32021830313341,"NGS"
