"","jday","Site","month_local","co2","ch4","co2gC","ch4gC","ch4mgC"
"26",27,"BB2","1",0.178747526315789,0.00724863157894737,0.185479873146947,0.00752164403873684,7.52164403873684
"27",28,"BB2","1",-0.0823959,0.0027499,-0.0854992591776,0.0028534722336,2.8534722336
"28",29,"BB2","1",0.38723625,0.0081005125,0.40182111612,0.0084056102028,8.4056102028
"29",30,"BB2","1",0.153791272727273,-0.00673635909090909,0.159583667223273,-0.00699007731970909,-6.99007731970909
"30",31,"BB2","1",0.796215,-0.00646,0.82620364176,-0.00670330944,-6.70330944
"31",32,"BB2","2",0.1617212,-0.0020186,0.1678122672768,-0.0020946285504,-2.0946285504
"32",33,"BB2","2",-0.353200142857143,0.00702085714285714,-0.366503073037714,0.00728529070628572,7.28529070628572
"33",34,"BB2","2",-0.0467058,-0.0004891,-0.0484649272512,-0.0005075214624,-0.5075214624
"34",35,"BB2","2",0.809366666666667,0.00459666666666667,0.8398506528,0.00476979552,4.76979552
"35",39,"BB2","2",-0.173853571428571,-0.001247,-0.180401592342857,-0.001293967008,-1.293967008
"36",40,"BB2","2",-0.5109188,0.003702,-0.5301620456832,0.003841432128,3.841432128
"37",41,"BB1","2",-0.359333181818182,-0.00662818181818182,-0.372867106778182,-0.00687782565818182,-6.87782565818182
"38",41,"BB2","2",-0.706676769230769,-0.0117194615384615,-0.733293043067077,-0.0121608633378462,-12.1608633378462
"39",42,"BB1","2",-0.0304669166666667,0.00531475,-0.031614422616,0.005514924744,5.514924744
"40",42,"BB2","2",0.124951173913043,0.043123347826087,0.129657334927304,0.0447475455986087,44.7475455986087
"41",43,"BB2","2",-0.3371736,-0.00836093333333333,-0.3498729064704,-0.0086758395264,-8.6758395264
"42",44,"BB1","2",0.329624555555556,0.00550555555555556,0.342039534816,0.0057129168,5.7129168
"43",44,"BB2","2",0.0506235384615385,0.0660456153846154,0.0525302234141538,0.0685331574424615,68.5331574424615
"44",45,"BB1","2",-0.110273076923077,-0.00156030384615385,-0.114426402092308,-0.00161907113021538,-1.61907113021538
"45",45,"BB2","2",0.20698,0.00288656521739131,0.21477569472,0.00299528480973913,2.99528480973913
"46",46,"BB2","2",1.11625625,0.000255166666666666,1.1582989254,0.000264777264,0.264777264
"47",47,"BB1","2",0.26613659375,0.00334440625,0.276160362417,0.003470369967,3.470369967
"48",47,"BB2","2",0.127222888888889,-0.00461077777777778,0.132014611776,-0.004784438112,-4.784438112
"49",48,"BB1","2",-0.107114153846154,0.00474461538461538,-0.111148501336615,0.00492331657846154,4.92331657846154
"50",48,"BB2","2",-0.0444866785714286,-0.00415900714285714,-0.0461622248331429,-0.00431565198788571,-4.31565198788571
"51",49,"BB1","2",-0.3176293125,0.0010025,-0.329592502926,0.00104025816,1.04025816
"52",49,"BB2","2",-0.674234391304348,-0.0132539565217391,-0.699628755418435,-0.0137531535401739,-13.7531535401739
"53",50,"BB1","2",-0.3432486,0.01762,-0.3561767152704,0.01828363968,18.28363968
"54",50,"BB2","2",0.121723368421053,0.0166242263157895,0.126307957369263,0.0172503611757474,17.2503611757474
"55",51,"BB2","2",-0.849692428571429,-0.0377421428571429,-0.881695244201143,-0.0391636629257143,-39.1636629257143
"56",52,"BB2","2",0.668801541666667,0.0104302083333333,0.693991282932,0.0108230517,10.8230517
"57",53,"BB2","2",-0.9289526,-0.0029646,-0.9639406707264,-0.0030762586944,-3.0762586944
"58",54,"BB1","2",0.112203230769231,-0.00679561538461539,0.116429253252923,-0.00705156544246154,-7.05156544246154
"59",54,"BB2","2",0.15947516,0.00873632,0.16548163242624,0.00906536475648,9.06536475648
"60",55,"BB1","2",0.274150633333333,0.00441814666666667,0.2844762427872,0.00458455174272,4.58455174272
"61",55,"BB2","2",0.0510039411764706,0.0137957352941176,0.0529249536169412,0.0143153378682353,14.3153378682353
"62",56,"BB1","2",0.390592333333333,0.00492288888888889,0.405303602976,0.005108304576,5.108304576
"63",56,"BB2","2",0.262554047619048,0.00201999523809524,0.272442883268571,0.00209607633874286,2.09607633874286
"64",57,"BB2","2",-0.898402235294118,-0.000349987176470588,-0.932239657084235,-0.000363169093485177,-0.363169093485177
"65",58,"BB1","2",0.0517991052631579,0.0102369473684211,0.0537500667637895,0.0106225117541053,10.6225117541053
"66",58,"BB2","2",-0.7468503,-0.0055967,-0.7749796696992,-0.0058074941088,-5.8074941088
"67",59,"BB1","2",-0.651937428571429,0.00121428571428571,-0.676491999881143,0.00126002057142857,1.26002057142857
"68",59,"BB2","2",-0.0309262727272727,0.0176037272727273,-0.0320910798632727,0.0182667540567273,18.2667540567273
"69",60,"BB1","2",-0.0557141,0.001239,-0.0578125158624,0.001285665696,1.285665696
"70",60,"BB2","2",-0.0180735333333333,0.00505066666666667,-0.0187542548928,0.005240894976,5.240894976
"71",61,"BB1","3",-0.215476736842105,0.00228547368421053,-0.223592452658526,0.00237155376505263,2.37155376505263
"72",61,"BB2","3",-0.00183166666666665,-0.006624875,-0.00190065455999998,-0.006874394292,-6.874394292
"73",62,"BB1","3",0.3943332,0.008224,0.4091853656448,0.008533748736,8.533748736
"74",62,"BB2","3",-0.721523,-0.01761,-0.748698442272,-0.01827326304,-18.27326304
"75",63,"BB1","3",0.5255263,0.1106852,0.5453197225632,0.1148540473728,114.8540473728
"76",63,"BB2","3",1.37424104347826,0.0281299130434783,1.42600045813983,0.0291893980883478,29.1893980883478
"77",64,"BB1","3",0.11466840625,0.0068011875,0.118987277103,0.007057347426,7.057347426
"78",64,"BB2","3",0.218178483870968,0.00619341935483871,0.226395958287484,0.00642668830141935,6.42668830141935
